Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2014-02-24,11593.0,,,,,7825.0,27605.0,14550.0,11914.0,-3436.0,
2014-02-25,12482.0,,,,,8900.0,29925.0,15255.0,12305.0,-2986.0,
2014-02-26,13821.0,,,,,10225.0,32025.0,16882.0,13245.0,-2159.0,
2014-02-27,14969.0,,,,,11000.0,33350.0,18500.0,13986.0,-568.0,
2014-02-28,15416.0,,,,,11825.0,33600.0,18741.0,14241.0,114.0,
2014-03-03,16278.0,,,,,13675.0,34025.0,19195.0,14818.0,818.0,
2014-03-04,18102.0,,,,,16750.0,37000.0,20614.0,15709.0,1668.0,
2014-03-05,20606.0,,,,,19100.0,39700.0,23409.0,18500.0,3132.0,
2014-03-06,24109.0,,,,,24500.0,44000.0,24750.0,22864.0,4641.0,
2014-03-07,26230.0,,,,,26900.0,47925.0,25814.0,25336.0,5818.0,
2014-03-10,26826.0,,,,,27675.0,48325.0,26436.0,25977.0,6105.0,
2014-03-11,27054.0,,,,,27865.0,48675.0,26668.0,26205.0,6282.0,
2014-03-12,22322.0,,,,,22700.0,42950.0,20545.0,22523.0,4091.0,
2014-03-13,22666.0,,,,,23100.0,42850.0,21255.0,22864.0,4045.0,
2014-03-14,22755.0,,,,,23150.0,43000.0,21295.0,23045.0,4059.0,
2014-03-17,22870.0,,,,,23250.0,42850.0,21550.0,23182.0,4145.0,
2014-03-18,24316.0,,,,,24450.0,43300.0,24250.0,24391.0,5050.0,
2014-03-19,26010.0,,,,,26575.0,44900.0,26391.0,25636.0,5977.0,
2014-03-20,27315.0,,,,,27275.0,45900.0,27955.0,26500.0,9159.0,
2014-03-21,26421.0,,,,,26556.0,45083.0,26300.0,25900.0,8775.0,
2014-03-24,26573.0,,,,,26510.0,44970.0,27168.0,25750.0,8755.0,
2014-03-25,25901.0,,,,,25925.0,44350.0,26114.0,25200.0,8382.0,
2014-03-26,23405.0,,,,,22140.0,42370.0,23291.0,23491.0,7023.0,
2014-03-27,21050.0,,,,,19475.0,40200.0,20364.0,21250.0,6023.0,
2014-03-28,20407.0,,,,,17565.0,39350.0,20659.0,20705.0,6050.0,
2014-03-31,20636.0,,,,,17315.0,39475.0,21909.0,20477.0,6209.0,
2014-04-01,19861.0,,,,,15885.0,38325.0,21386.0,20000.0,6018.0,
2014-04-02,18979.0,,,,,13985.0,37500.0,20873.0,19532.0,5550.0,
2014-04-03,18123.0,,,,,13370.0,36725.0,19864.0,18432.0,4932.0,
2014-04-04,17647.0,,,,,13120.0,35220.0,19550.0,17977.0,4664.0,
2014-04-07,17416.0,,,,,12700.0,34650.0,19759.0,17682.0,4395.0,
2014-04-08,14605.0,,,,,9575.0,31300.0,16300.0,15518.0,2755.0,
2014-04-09,13609.0,,,,,8800.0,29300.0,15450.0,14450.0,2173.0,
2014-04-10,12769.0,,,,,8300.0,27905.0,14427.0,13595.0,1600.0,
2014-04-11,12065.0,,,,,7960.0,27075.0,13541.0,12773.0,895.0,
2014-04-14,11768.0,,,,,7605.0,26760.0,13418.0,12455.0,427.0,
2014-04-15,11377.0,,,,,7355.0,26060.0,13032.0,12141.0,-100.0,
2014-04-16,10298.0,,,,,5500.0,24770.0,12164.0,11568.0,-850.0,
2014-04-17,10091.0,,,,,5972.0,23922.0,11660.0,11350.0,-1155.0,
2014-04-22,10371.0,,,,,6675.0,24080.0,11805.0,11545.0,-1164.0,
2014-04-23,10881.0,,,,,7310.0,24420.0,12423.0,12086.0,-1014.0,
2014-04-24,11088.0,,,,,7525.0,24595.0,12636.0,12318.0,-850.0,
2014-04-25,11077.0,,,,,7225.0,24445.0,12477.0,12273.0,223.0,
2014-04-28,10776.0,,,,,7050.0,23910.0,12100.0,12055.0,-114.0,
2014-04-29,10238.0,,,,,6710.0,23415.0,11032.0,11632.0,-259.0,
2014-04-30,10166.0,,,,,7275.0,23165.0,10691.0,11436.0,-645.0,
2014-05-01,11732.0,,,,,11563.0,26536.0,10613.0,11906.0,-844.0,
2014-05-02,12835.0,,,,,12575.0,28075.0,12159.0,12795.0,-455.0,
2014-05-06,12933.0,,,,,12450.0,28278.0,12450.0,12880.0,-375.0,
2014-05-07,12874.0,,,,,12435.0,28085.0,12359.0,12877.0,-432.0,
2014-05-08,12342.0,,,,,11625.0,27585.0,11773.0,12509.0,-664.0,
