Date,HS7TC,HS1,HS2,HS3,HS4,HS5,HS6,HS7
2018-03-01,10183.0,7629.0,7979.0,13333.0,14291.0,9881.0,9288.0,9456.0
2018-03-02,10328.0,7661.0,8007.0,13347.0,14406.0,10113.0,9556.0,9669.0
2018-03-05,10414.0,7689.0,8046.0,13372.0,14559.0,10225.0,9656.0,9794.0
2018-03-06,10523.0,7718.0,8089.0,13381.0,14728.0,10381.0,9797.0,9981.0
2018-03-07,10582.0,7746.0,8086.0,13381.0,14872.0,10472.0,9856.0,10053.0
2018-03-08,10677.0,7771.0,8104.0,13350.0,14938.0,10672.0,10016.0,10194.0
2018-03-09,10766.0,7789.0,8104.0,13275.0,15007.0,10903.0,10116.0,10406.0
2018-03-12,10847.0,7864.0,8100.0,13247.0,15088.0,11016.0,10309.0,10444.0
2018-03-13,10919.0,7893.0,8096.0,13197.0,15263.0,11088.0,10466.0,10525.0
2018-03-14,11003.0,7920.0,8089.0,13153.0,15331.0,11194.0,10650.0,10728.0
2018-03-15,11080.0,7979.0,8114.0,13139.0,15406.0,11306.0,10788.0,10813.0
2018-03-16,11121.0,8014.0,8132.0,13131.0,15444.0,11369.0,10856.0,10859.0
2018-03-19,11146.0,8046.0,8137.0,13119.0,15509.0,11394.0,10884.0,10890.0
2018-03-20,11174.0,8068.0,8134.0,13089.0,15603.0,11434.0,10931.0,10891.0
2018-03-21,11266.0,8161.0,8195.0,13111.0,15619.0,11600.0,11064.0,10975.0
2018-03-22,11318.0,8175.0,8206.0,13167.0,15641.0,11650.0,11131.0,11134.0
2018-03-23,11352.0,8189.0,8261.0,13236.0,15638.0,11675.0,11169.0,11181.0
2018-03-26,11410.0,8275.0,8339.0,13300.0,15584.0,11778.0,11225.0,11222.0
2018-03-27,11444.0,8296.0,8350.0,13421.0,15498.0,11841.0,11278.0,11241.0
2018-03-28,11492.0,8357.0,8404.0,13567.0,15425.0,11891.0,11322.0,11300.0
