Date,2020_M1,2020_M10,2020_M11,2020_M12,2020_M2,2020_M3,2020_M4,2020_M5,2020_M6,2020_M7,2020_M8,2020_M9,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2021_M1,2021_M10,2021_M11,2021_M12,2021_M2,2021_M3,2021_M4,2021_M5,2021_M6,2021_M7,2021_M8,2021_M9,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2021_Y,2022_M1,2022_M10,2022_M11,2022_M12,2022_M2,2022_M3,2022_M4,2022_M5,2022_M6,2022_M7,2022_M8,2022_M9,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022_Y,2023_M1,2023_M10,2023_M11,2023_M12,2023_M2,2023_M3,2023_M4,2023_M5,2023_M6,2023_M7,2023_M8,2023_M9,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2023_Y,2024_M1,2024_M10,2024_M11,2024_M12,2024_M2,2024_M3,2024_M4,2024_M5,2024_M6,2024_M7,2024_M8,2024_M9,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2024_Y,2025_M1,2025_M2,2025_M3,2025_M4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,2025_Y,2026_Y,2027_Y,2028_Y,2029_Y,2030_Y,2031_Y,2025_M5,2025_M6,2026_Q1,2032_Y,2025_M7,2026_Q2,2025_M8,2025_M9,2026_Q3,2026_Q4,2025_M10,2025_M11,2025_M12,2026_M1,2026_M2,2026_M3,2027_Q1,2026_M4,2026_M5,2026_M6
2020-01-08,8041.0,,,,8541.0,9016.0,9260.0,9366.0,,,,,8533.0,9297.0,9404.0,9404.0,,,,,,,,,,,,,9016.0,,,,9116.0,,,,,,,,,,,,,,,,,9079.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,9066.0,9066.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,8016.0,,,,8541.0,9016.0,9260.0,9366.0,,,,,8524.0,9297.0,9404.0,9404.0,,,,,,,,,,,,,9016.0,,,,9116.0,,,,,,,,,,,,,,,,,9079.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,9066.0,9066.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,8016.0,,,,8554.0,9016.0,9272.0,9379.0,,,,,8529.0,9297.0,9404.0,9404.0,,,,,,,,,,,,,9029.0,,,,9122.0,,,,,,,,,,,,,,,,,9079.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,9066.0,9066.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,7954.0,,,,8522.0,9016.0,9272.0,9379.0,,,,,8497.0,9297.0,9404.0,9404.0,,,,,,,,,,,,,9029.0,,,,9122.0,,,,,,,,,,,,,,,,,9079.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,9066.0,9066.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,7966.0,,,,8547.0,9029.0,9304.0,9404.0,,,,,8514.0,9316.0,9404.0,9404.0,,,,,,,,,,,,,9029.0,,,,9122.0,,,,,,,,,,,,,,,,,9079.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,9066.0,9066.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,7916.0,,,,8479.0,9016.0,9254.0,9366.0,,,,,8470.0,9304.0,9391.0,9391.0,,,,,,,,,,,,,9016.0,,,,9110.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,,,,,,,,,9072.0,,,,,,,,,9066.0,9066.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,7841.0,,,,8379.0,8960.0,9216.0,9341.0,,,,,8393.0,9279.0,9379.0,9379.0,,,,,,,,,,,,,9004.0,,,,9097.0,,,,,,,,,,,,,,,,,9060.0,,,,,,,,,,,,,,,,,9054.0,,,,,,,,,,,,,,,,,9054.0,,,,,,,,,9054.0,9054.0,9047.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,7816.0,,,,8366.0,8954.0,9216.0,9341.0,,,,,8379.0,9272.0,9372.0,9372.0,,,,,,,,,,,,,8991.0,,,,9085.0,,,,,,,,,,,,,,,,,9054.0,,,,,,,,,,,,,,,,,9041.0,,,,,,,,,,,,,,,,,9041.0,,,,,,,,,9041.0,9041.0,9035.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,7791.0,,,,8354.0,8954.0,9216.0,9341.0,,,,,8366.0,9266.0,9372.0,9372.0,,,,,,,,,,,,,8991.0,,,,9085.0,,,,,,,,,,,,,,,,,9041.0,,,,,,,,,,,,,,,,,9029.0,,,,,,,,,,,,,,,,,9029.0,,,,,,,,,9029.0,9029.0,9016.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,7772.0,,,,8316.0,8916.0,9116.0,9204.0,,,,,8335.0,9154.0,9335.0,9335.0,,,,,,,,,,,,,8941.0,,,,9041.0,,,,,,,,,,,,,,,,,9004.0,,,,,,,,,,,,,,,,,8997.0,,,,,,,,,,,,,,,,,8985.0,,,,,,,,,8985.0,8985.0,8979.0,,,,,,,,,,,,,,,,,,,,,,,,
