Date,TC_H38+1CAL,TC_H38+1MON,TC_H38+1Q,TC_H38+2CAL,TC_H38+2MON,TC_H38+2Q,TC_H38+3CAL,TC_H38+3MON,TC_H38+3Q,TC_H38+4CAL,TC_H38+4MON,TC_H38+4Q,TC_H38+5CAL,TC_H38+5MON,TC_H38+6CAL,TC_H38+7CAL,TC_H38CURMON,TC_H38CURQ
2020-01-08,9116.0,8541.0,9297.0,9079.0,9016.0,9404.0,9072.0,9260.0,9404.0,9072.0,9366.0,9016.0,9066.0,,9066.0,9060.0,8041.0,8533.0
2020-01-09,9116.0,8541.0,9297.0,9079.0,9016.0,9404.0,9072.0,9260.0,9404.0,9072.0,9366.0,9016.0,9066.0,,9066.0,9060.0,8016.0,8524.0
2020-01-10,9122.0,8554.0,9297.0,9079.0,9016.0,9404.0,9072.0,9272.0,9404.0,9072.0,9379.0,9029.0,9066.0,,9066.0,9060.0,8016.0,8529.0
2020-01-13,9122.0,8522.0,9297.0,9079.0,9016.0,9404.0,9072.0,9272.0,9404.0,9072.0,9379.0,9029.0,9066.0,,9066.0,9060.0,7954.0,8497.0
2020-01-14,9122.0,8547.0,9316.0,9079.0,9029.0,9404.0,9072.0,9304.0,9404.0,9072.0,9404.0,9029.0,9066.0,,9066.0,9060.0,7966.0,8514.0
2020-01-15,9110.0,8479.0,9304.0,9072.0,9016.0,9391.0,9072.0,9254.0,9391.0,9072.0,9366.0,9016.0,9066.0,,9066.0,9060.0,7916.0,8470.0
2020-01-16,9097.0,8379.0,9279.0,9060.0,8960.0,9379.0,9054.0,9216.0,9379.0,9054.0,9341.0,9004.0,9054.0,,9054.0,9047.0,7841.0,8393.0
2020-01-17,9085.0,8366.0,9272.0,9054.0,8954.0,9372.0,9041.0,9216.0,9372.0,9041.0,9341.0,8991.0,9041.0,,9041.0,9035.0,7816.0,8379.0
2020-01-20,9085.0,8354.0,9266.0,9041.0,8954.0,9372.0,9029.0,9216.0,9372.0,9029.0,9341.0,8991.0,9029.0,,9029.0,9016.0,7791.0,8366.0
2020-01-21,9041.0,8316.0,9154.0,9004.0,8916.0,9335.0,8997.0,9116.0,9335.0,8985.0,9204.0,8941.0,8985.0,,8985.0,8979.0,7772.0,8335.0
2020-01-22,9066.0,8229.0,9179.0,9004.0,8904.0,9360.0,9004.0,9091.0,9335.0,8985.0,9204.0,8866.0,8985.0,,8985.0,8979.0,7672.0,8268.0
2020-01-23,9066.0,8241.0,9191.0,9010.0,8929.0,9372.0,9010.0,9104.0,9347.0,8991.0,9216.0,8866.0,8985.0,,8985.0,8985.0,7666.0,8279.0
2020-01-24,9066.0,8241.0,9191.0,9010.0,8929.0,9372.0,9010.0,9104.0,9347.0,8991.0,9216.0,8866.0,8985.0,,8985.0,8985.0,7666.0,8279.0
2020-01-27,9054.0,8104.0,9179.0,8985.0,8829.0,9354.0,8985.0,9029.0,9304.0,8979.0,9191.0,8829.0,8979.0,,8979.0,8979.0,7641.0,8191.0
2020-01-28,9016.0,8072.0,9141.0,8966.0,8791.0,9297.0,8966.0,9004.0,9266.0,8966.0,9179.0,8804.0,8960.0,,8947.0,8947.0,7591.0,8151.0
2020-01-29,9016.0,7966.0,9129.0,8966.0,8704.0,9297.0,8966.0,8979.0,9260.0,8966.0,9154.0,8791.0,8960.0,,8947.0,8947.0,7566.0,8079.0
2020-01-30,8966.0,7716.0,9054.0,8904.0,8491.0,9241.0,8904.0,8879.0,9204.0,8904.0,9079.0,8729.0,8897.0,,8885.0,8885.0,7441.0,7883.0
2020-01-31,8960.0,8429.0,9056.0,8897.0,8854.0,9254.0,8897.0,9072.0,9197.0,8891.0,9241.0,8729.0,8891.0,,8872.0,8872.0,7616.0,8022.0
2020-02-03,8941.0,8291.0,8987.0,8879.0,8729.0,9216.0,8879.0,9041.0,9172.0,8872.0,9191.0,8629.0,8872.0,,8854.0,8854.0,7491.0,7891.0
2020-02-04,8991.0,7966.0,8972.0,8929.0,8691.0,9304.0,8916.0,9035.0,9272.0,8910.0,9191.0,8679.0,8910.0,,8891.0,8891.0,7104.0,7535.0
2020-02-05,8979.0,7716.0,8822.0,8916.0,8541.0,9304.0,8904.0,8872.0,9279.0,8897.0,9054.0,8604.0,8897.0,,8891.0,8891.0,6829.0,7272.0
2020-02-06,8966.0,7579.0,8753.0,8916.0,8454.0,9291.0,8897.0,8816.0,9279.0,8897.0,8991.0,8579.0,8897.0,,8891.0,8891.0,6654.0,7116.0
2020-02-07,8954.0,7504.0,8714.0,8910.0,8416.0,9285.0,8897.0,8772.0,9272.0,8897.0,8954.0,8560.0,8897.0,,8891.0,8891.0,6591.0,7047.0
2020-02-10,8954.0,7354.0,8674.0,8910.0,8341.0,9285.0,8897.0,8754.0,9272.0,8897.0,8929.0,8560.0,8897.0,,8891.0,8891.0,6479.0,6916.0
2020-02-11,8954.0,7229.0,8666.0,8910.0,8316.0,9285.0,8897.0,8754.0,9272.0,8897.0,8929.0,8560.0,8897.0,,8891.0,8891.0,6404.0,6816.0
2020-02-12,8960.0,7179.0,8666.0,8920.0,8316.0,9291.0,8904.0,8754.0,9279.0,8904.0,8929.0,8560.0,8904.0,,8897.0,8897.0,6291.0,6735.0
2020-02-13,8966.0,7154.0,8679.0,8920.0,8341.0,9291.0,8904.0,8766.0,9279.0,8904.0,8929.0,8560.0,8904.0,,8897.0,8897.0,6266.0,6710.0
2020-02-14,8972.0,7141.0,8679.0,8920.0,8341.0,9297.0,8904.0,8766.0,9279.0,8904.0,8929.0,8591.0,8904.0,,8897.0,8897.0,6241.0,6691.0
2020-02-17,8966.0,6991.0,8620.0,8916.0,8291.0,9291.0,8897.0,8691.0,9279.0,8897.0,8879.0,8541.0,8897.0,,8891.0,8891.0,6116.0,6554.0
2020-02-18,8972.0,6991.0,8639.0,8922.0,8329.0,9297.0,8904.0,8704.0,9285.0,8897.0,8885.0,8541.0,8897.0,,8891.0,8891.0,6054.0,6522.0
2020-02-19,9004.0,7041.0,8712.0,8929.0,8404.0,9329.0,8910.0,8791.0,9304.0,8910.0,8941.0,8554.0,8904.0,,8897.0,8897.0,6054.0,6547.0
2020-02-20,9016.0,7041.0,8766.0,8929.0,8491.0,9341.0,8910.0,8841.0,9316.0,8910.0,8966.0,8566.0,8904.0,,8897.0,8897.0,6066.0,6554.0
2020-02-21,9022.0,7054.0,8791.0,8935.0,8516.0,9366.0,8910.0,8854.0,9316.0,8910.0,9004.0,8572.0,8904.0,,8904.0,8904.0,6066.0,6560.0
2020-02-24,9004.0,7004.0,8745.0,8929.0,8491.0,9341.0,8904.0,8804.0,9291.0,8904.0,8941.0,8554.0,8897.0,,8897.0,8897.0,6029.0,6516.0
2020-02-25,8966.0,7004.0,8658.0,8904.0,8404.0,9304.0,8885.0,8729.0,9254.0,8885.0,8841.0,8504.0,8879.0,,8879.0,8879.0,6016.0,6510.0
2020-02-26,9004.0,7091.0,8699.0,8929.0,8422.0,9329.0,8885.0,8772.0,9254.0,8885.0,8904.0,8529.0,8879.0,,8879.0,8879.0,6016.0,6554.0
2020-02-27,9029.0,7129.0,8724.0,8960.0,8441.0,9341.0,8916.0,8791.0,9266.0,8904.0,8941.0,8554.0,8897.0,,8897.0,8897.0,6016.0,6572.0
2020-02-28,8966.0,8379.0,8664.0,8897.0,8735.0,9335.0,8866.0,8879.0,9235.0,8835.0,9104.0,8397.0,8835.0,,8829.0,8829.0,7091.0,7091.0
2020-03-02,8916.0,8241.0,8579.0,8879.0,8679.0,9304.0,8841.0,8816.0,9191.0,8810.0,9066.0,8291.0,8810.0,,8810.0,8807.0,6979.0,6979.0
2020-03-03,8916.0,8266.0,8602.0,8879.0,8710.0,9329.0,8847.0,8829.0,9241.0,8816.0,9104.0,8291.0,8816.0,,8810.0,8810.0,6979.0,6979.0
2020-03-04,8922.0,8279.0,8627.0,8891.0,8741.0,9354.0,8854.0,8860.0,9266.0,8822.0,9129.0,8316.0,8822.0,,8816.0,8816.0,6991.0,6991.0
2020-03-05,8947.0,8316.0,8681.0,8904.0,8804.0,9416.0,8866.0,8922.0,9291.0,8835.0,9229.0,8329.0,8835.0,,8829.0,8829.0,7054.0,7054.0
2020-03-06,8947.0,8316.0,8697.0,8904.0,8829.0,9429.0,8866.0,8947.0,9304.0,8835.0,9241.0,8329.0,8835.0,,8829.0,8829.0,7066.0,7066.0
2020-03-09,8885.0,8091.0,8489.0,8835.0,8585.0,9316.0,8816.0,8791.0,9216.0,8785.0,9116.0,8191.0,8785.0,,8779.0,8779.0,6916.0,6916.0
2020-03-10,8916.0,8141.0,8562.0,8854.0,8666.0,9366.0,8835.0,8879.0,9254.0,8804.0,9166.0,8216.0,8804.0,,8797.0,8797.0,6966.0,6966.0
2020-03-11,8897.0,8091.0,8512.0,8829.0,8629.0,9341.0,8810.0,8816.0,9229.0,8779.0,9116.0,8179.0,8779.0,,8772.0,8772.0,6941.0,6941.0
2020-03-12,8891.0,8066.0,8487.0,8829.0,8597.0,9329.0,8804.0,8797.0,9229.0,8772.0,9091.0,8166.0,8772.0,,8766.0,8766.0,6941.0,6941.0
2020-03-13,8891.0,7854.0,8391.0,8829.0,8547.0,9316.0,8816.0,8772.0,9216.0,8785.0,9079.0,8129.0,8785.0,,8779.0,8779.0,6941.0,6941.0
2020-03-16,8829.0,7616.0,8181.0,8779.0,8335.0,9241.0,8766.0,8591.0,9154.0,8747.0,8991.0,8054.0,8747.0,,8741.0,8741.0,6841.0,6841.0
2020-03-17,8829.0,7591.0,8172.0,8779.0,8335.0,9241.0,8766.0,8591.0,9154.0,8747.0,8991.0,8054.0,8747.0,,8741.0,8741.0,6841.0,6841.0
2020-03-18,8829.0,7591.0,8172.0,8779.0,8335.0,9241.0,8766.0,8591.0,9154.0,8747.0,8991.0,8054.0,8747.0,,8741.0,8741.0,6854.0,6854.0
2020-03-19,8779.0,7529.0,8127.0,8729.0,8310.0,9216.0,8716.0,8541.0,9129.0,8697.0,8954.0,8029.0,8697.0,,8691.0,8691.0,6866.0,6866.0
2020-03-20,8779.0,7516.0,8148.0,8729.0,8360.0,9229.0,8716.0,8566.0,9129.0,8697.0,8979.0,8029.0,8697.0,,8691.0,8691.0,6904.0,6904.0
2020-03-23,8729.0,7329.0,7908.0,8679.0,8066.0,9041.0,8654.0,8329.0,8991.0,8647.0,8754.0,7991.0,8635.0,,8629.0,8629.0,6916.0,6916.0
2020-03-24,8729.0,7254.0,7825.0,8666.0,7966.0,8991.0,8629.0,8254.0,8966.0,8622.0,8691.0,7991.0,8610.0,,8604.0,8604.0,6916.0,6916.0
2020-03-25,8729.0,7066.0,7579.0,8666.0,7729.0,8879.0,8629.0,7941.0,8954.0,8622.0,8516.0,7991.0,8610.0,,8604.0,8604.0,6916.0,6916.0
2020-03-26,8722.0,7029.0,7529.0,8666.0,7679.0,8841.0,8616.0,7879.0,8941.0,8610.0,8466.0,7991.0,8597.0,,8591.0,8591.0,6916.0,6916.0
2020-03-27,8722.0,6904.0,7358.0,8666.0,7441.0,8829.0,8616.0,7729.0,8941.0,8610.0,8466.0,7991.0,8597.0,,8591.0,8591.0,6916.0,6916.0
2020-03-30,8722.0,6716.0,7166.0,8666.0,7241.0,8779.0,8616.0,7541.0,8916.0,8610.0,8391.0,7991.0,8597.0,,8591.0,8591.0,6916.0,6916.0
2020-03-31,8760.0,7329.0,8854.0,8679.0,7666.0,8991.0,8616.0,8391.0,7991.0,8610.0,8841.0,8579.0,8597.0,,8591.0,8591.0,6679.0,7225.0
2020-04-01,8760.0,7204.0,8841.0,8679.0,7629.0,8991.0,8616.0,8366.0,7991.0,8610.0,8829.0,8579.0,8597.0,,8591.0,8591.0,6566.0,7133.0
2020-04-02,8766.0,7172.0,8841.0,8679.0,7629.0,8991.0,8616.0,8366.0,7991.0,8610.0,8829.0,8604.0,8597.0,,8591.0,8591.0,6541.0,7114.0
2020-04-03,8766.0,7141.0,8841.0,8679.0,7610.0,8991.0,8616.0,8366.0,7991.0,8610.0,8829.0,8604.0,8597.0,,8591.0,8591.0,6516.0,7089.0
2020-04-06,8766.0,7116.0,8766.0,8679.0,7572.0,8991.0,8616.0,8329.0,7991.0,8610.0,8766.0,8604.0,8597.0,,8591.0,8591.0,6441.0,7043.0
2020-04-07,8766.0,7116.0,8766.0,8679.0,7572.0,8991.0,8616.0,8329.0,7991.0,8610.0,8766.0,8604.0,8597.0,,8591.0,8591.0,6441.0,7043.0
2020-04-08,8766.0,7116.0,8766.0,8679.0,7572.0,8991.0,8616.0,8329.0,7991.0,8610.0,8766.0,8604.0,8597.0,,8591.0,8591.0,6429.0,7039.0
2020-04-09,8772.0,7116.0,8766.0,8679.0,7572.0,8991.0,8616.0,8329.0,8004.0,8610.0,8766.0,8616.0,8597.0,,8591.0,8591.0,6429.0,7039.0
2020-04-14,8772.0,7079.0,8754.0,8679.0,7566.0,8991.0,8616.0,8316.0,8004.0,8610.0,8754.0,8616.0,8597.0,,8591.0,8591.0,6404.0,7016.0
2020-04-15,8779.0,7029.0,8754.0,8679.0,7579.0,8991.0,8616.0,8316.0,8016.0,8616.0,8754.0,8616.0,8597.0,,8591.0,8591.0,6379.0,6995.0
2020-04-16,8779.0,6941.0,8744.0,8679.0,7560.0,8991.0,8616.0,8304.0,8016.0,8616.0,8741.0,8616.0,8597.0,,8591.0,8591.0,6341.0,6947.0
2020-04-17,8779.0,6916.0,8741.0,8679.0,7560.0,8991.0,8616.0,8304.0,8016.0,8616.0,8741.0,8616.0,8597.0,,8591.0,8591.0,6304.0,6927.0
2020-04-20,8779.0,6866.0,8716.0,8679.0,7497.0,8991.0,8616.0,8241.0,8016.0,8616.0,8741.0,8616.0,8597.0,,8591.0,8591.0,6241.0,6868.0
2020-04-21,8704.0,6791.0,8666.0,8647.0,7416.0,8929.0,8597.0,8154.0,7929.0,8597.0,8666.0,8541.0,8579.0,,8579.0,8579.0,6191.0,6799.0
2020-04-22,8704.0,6729.0,8666.0,8647.0,7354.0,8929.0,8597.0,8154.0,7929.0,8597.0,8666.0,8541.0,8579.0,,8579.0,8579.0,6204.0,6762.0
2020-04-23,8716.0,6729.0,8691.0,8660.0,7366.0,8954.0,8604.0,8179.0,7966.0,8604.0,8691.0,8566.0,8585.0,,8585.0,8585.0,6229.0,6774.0
2020-04-24,8716.0,6729.0,8691.0,8660.0,7366.0,8954.0,8604.0,8179.0,7966.0,8604.0,8691.0,8566.0,8585.0,,8585.0,8585.0,6229.0,6774.0
2020-04-27,8710.0,6691.0,8679.0,8654.0,7354.0,8929.0,8604.0,8154.0,7954.0,8604.0,8679.0,8541.0,8585.0,,8585.0,8585.0,6229.0,6758.0
2020-04-28,8685.0,6554.0,8579.0,8641.0,7279.0,8879.0,8591.0,8091.0,7904.0,8591.0,8604.0,8466.0,8579.0,,8579.0,8579.0,6229.0,6687.0
2020-04-29,8679.0,6529.0,8554.0,8641.0,7254.0,8866.0,8591.0,8066.0,7904.0,8591.0,8591.0,8454.0,8579.0,,8579.0,8579.0,6216.0,6666.0
2020-04-30,8679.0,7204.0,8462.0,8641.0,8041.0,8866.0,8591.0,8541.0,7904.0,8591.0,8804.0,8454.0,8579.0,,8579.0,8579.0,6379.0,6791.0
2020-05-01,8679.0,7191.0,8439.0,8641.0,8016.0,8866.0,8591.0,8510.0,7904.0,8591.0,8791.0,8454.0,8579.0,,8579.0,8579.0,6341.0,6766.0
2020-05-04,8679.0,7191.0,8439.0,8641.0,8016.0,8866.0,8591.0,8510.0,7904.0,8591.0,8791.0,8454.0,8579.0,,8579.0,8579.0,6316.0,6754.0
2020-05-05,8672.0,7041.0,8404.0,8635.0,7941.0,8854.0,8591.0,8491.0,7879.0,8591.0,8779.0,8441.0,8575.0,,8575.0,8575.0,6204.0,6622.0
2020-05-06,8616.0,6954.0,8329.0,8579.0,7791.0,8816.0,8554.0,8429.0,7841.0,8554.0,8766.0,8429.0,8537.0,,8537.0,8537.0,6154.0,6554.0
2020-05-07,8316.0,5804.0,7541.0,8279.0,7079.0,8347.0,8287.0,7429.0,7410.0,8287.0,8116.0,8254.0,8285.0,,8285.0,8285.0,4841.0,5322.0
2020-05-11,8316.0,5804.0,7541.0,8279.0,7079.0,8347.0,8287.0,7429.0,7410.0,8287.0,8116.0,8254.0,8285.0,,8285.0,8285.0,4841.0,5322.0
2020-05-12,8297.0,5691.0,7429.0,8266.0,6966.0,8266.0,8266.0,7316.0,7316.0,8266.0,8004.0,8229.0,8266.0,,8266.0,8266.0,4729.0,5210.0
2020-05-13,8291.0,5654.0,7404.0,8254.0,6929.0,8241.0,8254.0,7304.0,7304.0,8254.0,7979.0,8216.0,8254.0,,8254.0,8254.0,4704.0,5179.0
2020-05-14,8279.0,5629.0,7383.0,8241.0,6904.0,8216.0,8241.0,7279.0,7279.0,8241.0,7966.0,8216.0,8241.0,,8241.0,8241.0,4666.0,5147.0
2020-05-15,8266.0,5616.0,7366.0,8235.0,6891.0,8204.0,8241.0,7254.0,7266.0,8241.0,7954.0,8216.0,8241.0,,8241.0,8241.0,4679.0,5147.0
2020-05-18,8260.0,5591.0,7329.0,8229.0,6866.0,8191.0,8235.0,7216.0,7254.0,8235.0,7904.0,8216.0,8235.0,,8235.0,8235.0,4679.0,5135.0
2020-05-19,8260.0,5591.0,7329.0,8229.0,6866.0,8191.0,8235.0,7216.0,7254.0,8235.0,7904.0,8216.0,8235.0,,8235.0,8235.0,4679.0,5135.0
2020-05-20,8260.0,5591.0,7329.0,8229.0,6866.0,8191.0,8235.0,7216.0,7254.0,8235.0,7904.0,8216.0,8235.0,,8235.0,8235.0,4679.0,5135.0
2020-05-21,8266.0,5629.0,7329.0,8229.0,6866.0,8191.0,8235.0,7216.0,7254.0,8235.0,7904.0,8229.0,8235.0,,8235.0,8235.0,4679.0,5154.0
2020-05-22,8329.0,5716.0,7412.0,8254.0,6991.0,8254.0,8235.0,7279.0,7291.0,8235.0,7966.0,8291.0,8235.0,,8235.0,8235.0,4679.0,5197.0
2020-05-26,8391.0,5779.0,7454.0,8316.0,6991.0,8316.0,8297.0,7404.0,7354.0,8297.0,7966.0,8366.0,8297.0,,8297.0,8297.0,4729.0,5254.0
2020-05-27,8391.0,5779.0,7441.0,8316.0,6991.0,8316.0,8297.0,7366.0,7354.0,8297.0,7966.0,8366.0,8297.0,,8297.0,8297.0,4729.0,5254.0
2020-05-28,8397.0,5779.0,7441.0,8316.0,6991.0,8316.0,8297.0,7366.0,7354.0,8297.0,7966.0,8379.0,8297.0,,8297.0,8297.0,4729.0,5254.0
2020-05-29,8397.0,6991.0,7441.0,8316.0,7366.0,8316.0,8297.0,7966.0,7354.0,8297.0,8354.0,8391.0,8297.0,,8297.0,8297.0,5754.0,5754.0
2020-06-01,8397.0,6991.0,7435.0,8316.0,7347.0,8316.0,8297.0,7966.0,7354.0,8297.0,8379.0,8391.0,8297.0,,8297.0,8297.0,5741.0,5741.0
2020-06-02,8397.0,6991.0,7435.0,8316.0,7347.0,8316.0,8297.0,7966.0,7354.0,8297.0,8391.0,8391.0,8297.0,,8297.0,8297.0,5741.0,5741.0
2020-06-03,8397.0,6991.0,7435.0,8316.0,7347.0,8316.0,8297.0,7966.0,7354.0,8297.0,8391.0,8391.0,8297.0,,8297.0,8297.0,5741.0,5741.0
2020-06-04,8466.0,7066.0,7510.0,8404.0,7416.0,8366.0,8354.0,8047.0,7429.0,8347.0,8466.0,8466.0,8347.0,,8347.0,8347.0,5804.0,5804.0
2020-06-05,8466.0,7085.0,7516.0,8404.0,7416.0,8366.0,8354.0,8047.0,7429.0,8347.0,8479.0,8466.0,8347.0,,8347.0,8347.0,5816.0,5816.0
2020-06-08,8535.0,7166.0,7627.0,8454.0,7604.0,8404.0,8391.0,8110.0,7479.0,8391.0,8579.0,8604.0,8385.0,,8385.0,8385.0,5854.0,5854.0
2020-06-09,8535.0,7166.0,7627.0,8454.0,7604.0,8404.0,8391.0,8110.0,7479.0,8391.0,8591.0,8604.0,8385.0,,8385.0,8385.0,5854.0,5854.0
