Date,S10TC,S1B,S1C,S2,S3,S4A,S4B,S5,S8,S9,S10,S15,S11TC,S1B_58,S1C_58,S2_58,S3_58,S4A_58,S4B_58,S5_58,S8_58,S9_58,S10_58,S11_58
2015-07-31,9353.0,,,,,,,,,,,,,15536.0,18833.0,7657.0,6663.0,16938.0,5742.0,13058.0,7816.0,11292.0,5869.0,6914.0
2015-08-03,9354.0,,,,,,,,,,,,,15550.0,18872.0,7650.0,6638.0,17006.0,5750.0,13104.0,7800.0,11258.0,5875.0,6918.0
2015-08-04,9312.0,,,,,,,,,,,,,15836.0,18656.0,7550.0,6581.0,17025.0,5717.0,13000.0,7778.0,11200.0,5847.0,6914.0
2015-08-05,9319.0,,,,,,,,,,,,,15950.0,18667.0,7471.0,6550.0,17275.0,5767.0,12925.0,7741.0,11342.0,5806.0,6879.0
2015-08-06,9315.0,,,,,,,,,,,,,16050.0,18656.0,7421.0,6525.0,17306.0,5883.0,12917.0,7723.0,11308.0,5779.0,6857.0
2015-08-07,9320.0,,,,,,,,,,,,,16071.0,18692.0,7396.0,6506.0,17400.0,5975.0,12900.0,7713.0,11275.0,5769.0,6804.0
2015-08-10,9285.0,,,,,,,,,,,,,16021.0,18669.0,7375.0,6463.0,17388.0,5967.0,12833.0,7686.0,11200.0,5707.0,6785.0
2015-08-11,9280.0,,,,,,,,,,,,,16143.0,18603.0,7350.0,6438.0,17388.0,6014.0,12892.0,7644.0,11158.0,5734.0,6746.0
2015-08-12,9270.0,,,,,,,,,,,,,16229.0,18606.0,7326.0,6413.0,17528.0,5943.0,12904.0,7613.0,11125.0,5706.0,6732.0
2015-08-13,9252.0,,,,,,,,,,,,,16236.0,18669.0,7297.0,6400.0,17538.0,5900.0,12900.0,7584.0,11067.0,5694.0,6707.0
2015-08-14,9258.0,,,,,,,,,,,,,16350.0,18731.0,7286.0,6388.0,17608.0,5893.0,12900.0,7574.0,11061.0,5681.0,6688.0
2015-08-17,9335.0,,,,,,,,,,,,,16504.0,18937.0,7286.0,6375.0,17769.0,6018.0,13188.0,7562.0,11388.0,5668.0,6664.0
2015-08-18,9391.0,,,,,,,,,,,,,16593.0,19022.0,7300.0,6363.0,18025.0,6157.0,13367.0,7517.0,11558.0,5653.0,6646.0
2015-08-19,9415.0,,,,,,,,,,,,,16671.0,19111.0,7307.0,6350.0,18200.0,6225.0,13392.0,7478.0,11600.0,5636.0,6611.0
2015-08-20,9433.0,,,,,,,,,,,,,16707.0,19300.0,7229.0,6350.0,18319.0,6294.0,13475.0,7463.0,11675.0,5617.0,6589.0
2015-08-21,9443.0,,,,,,,,,,,,,16836.0,19344.0,7236.0,6363.0,18525.0,6286.0,13408.0,7409.0,11683.0,5568.0,6539.0
2015-08-24,9450.0,,,,,,,,,,,,,16886.0,19422.0,7257.0,6300.0,18544.0,6366.0,13408.0,7403.0,11667.0,5552.0,6514.0
2015-08-25,9455.0,,,,,,,,,,,,,16907.0,19767.0,7236.0,6263.0,18620.0,6453.0,13300.0,7375.0,11583.0,5529.0,6507.0
2015-08-26,9418.0,,,,,,,,,,,,,16793.0,19856.0,7207.0,6200.0,18638.0,6464.0,13225.0,7322.0,11500.0,5482.0,6443.0
2015-08-27,9382.0,,,,,,,,,,,,,16621.0,19794.0,7171.0,6188.0,18563.0,6471.0,13267.0,7281.0,11471.0,5441.0,6393.0
2015-08-28,9326.0,,,,,,,,,,,,,16373.0,19794.0,7129.0,6125.0,18425.0,6557.0,13242.0,7222.0,11358.0,5385.0,6329.0
2015-09-01,9171.0,,,,,,,,,,,,,15921.0,19317.0,7100.0,6050.0,17991.0,6464.0,12858.0,7169.0,11142.0,5316.0,6275.0
2015-09-02,8991.0,,,,,,,,,,,,,15443.0,18833.0,7039.0,5975.0,17525.0,6336.0,12658.0,7106.0,10675.0,5253.0,6189.0
2015-09-03,8801.0,,,,,,,,,,,,,14964.0,18500.0,6942.0,5933.0,17081.0,6300.0,12275.0,6958.0,10242.0,5125.0,6040.0
2015-09-04,8656.0,,,,,,,,,,,,,14564.0,18225.0,6850.0,5883.0,16813.0,6236.0,11967.0,6871.0,9958.0,5038.0,5960.0
2015-09-07,8510.0,,,,,,,,,,,,,14183.0,17956.0,6764.0,5775.0,16529.0,6100.0,11660.0,6838.0,9660.0,5009.0,5946.0
2015-09-08,8407.0,,,,,,,,,,,,,14000.0,17717.0,6679.0,5700.0,16344.0,6007.0,11500.0,6797.0,9500.0,4966.0,5911.0
2015-09-09,8294.0,,,,,,,,,,,,,13829.0,17406.0,6618.0,5613.0,16125.0,5864.0,11317.0,6722.0,9392.0,4924.0,5861.0
2015-09-10,8158.0,,,,,,,,,,,,,13764.0,17161.0,6536.0,5425.0,15813.0,5771.0,10975.0,6694.0,9142.0,4891.0,5768.0
2015-09-11,8031.0,,,,,,,,,,,,,13736.0,16933.0,6450.0,5288.0,15513.0,5700.0,10650.0,6666.0,8858.0,4838.0,
2015-09-14,7938.0,,,,,,,,,,,,,13564.0,16694.0,6400.0,5200.0,15344.0,5643.0,10417.0,6631.0,8708.0,4809.0,5732.0
2015-09-15,7856.0,,,,,,,,,,,,,13414.0,16422.0,6357.0,5125.0,15169.0,5629.0,10250.0,6622.0,8550.0,4766.0,5704.0
2015-09-16,7772.0,,,,,,,,,,,,,13329.0,16278.0,6291.0,5025.0,15006.0,5621.0,10075.0,6575.0,8417.0,4709.0,5654.0
2015-09-17,7674.0,,,,,,,,,,,,,13307.0,15978.0,6229.0,4963.0,14731.0,5543.0,9858.0,6550.0,8225.0,4678.0,5611.0
2015-09-18,7587.0,,,,,,,,,,,,,13229.0,15817.0,6168.0,4875.0,14538.0,5479.0,9708.0,6506.0,8079.0,4644.0,5568.0
2015-09-21,7542.0,,,,,,,,,,,,,13175.0,15725.0,6150.0,4800.0,14388.0,5471.0,9625.0,6479.0,8058.0,4636.0,5529.0
2015-09-22,7485.0,,,,,,,,,,,,,13086.0,15594.0,6133.0,4763.0,14219.0,5400.0,9550.0,6457.0,7967.0,4604.0,5500.0
2015-09-23,7384.0,,,,,,,,,,,,,13086.0,15300.0,6100.0,4675.0,13944.0,5250.0,9408.0,6407.0,7808.0,4557.0,5438.0
2015-09-24,7308.0,,,,,,,,,,,,,13093.0,15050.0,6064.0,4625.0,13625.0,5193.0,9308.0,6400.0,7675.0,4525.0,
2015-09-25,7238.0,,,,,,,,,,,,,13114.0,14889.0,6014.0,4600.0,13419.0,5186.0,9242.0,6319.0,7542.0,4447.0,5382.0
2015-09-28,7154.0,,,,,,,,,,,,,13086.0,14644.0,5979.0,4538.0,13113.0,5156.0,9117.0,6268.0,7400.0,4404.0,5317.0
2015-09-29,7031.0,,,,,,,,,,,,,12993.0,14489.0,5921.0,4475.0,12431.0,5086.0,8958.0,6211.0,7275.0,4354.0,5275.0
2015-09-30,6934.0,,,,,,,,,,,,,12907.0,14225.0,5882.0,4419.0,11919.0,5057.0,8825.0,6184.0,7167.0,4325.0,5257.0
2015-10-01,6848.0,,,,,,,,,,,,,12786.0,14061.0,5870.0,4400.0,11494.0,5068.0,8667.0,6104.0,7033.0,4261.0,5175.0
2015-10-02,6782.0,,,,,,,,,,,,,12600.0,13711.0,5850.0,4375.0,11194.0,5114.0,8608.0,6075.0,6992.0,4230.0,5133.0
2015-10-05,6738.0,,,,,,,,,,,,,12457.0,13539.0,5821.0,4350.0,10956.0,5099.0,8558.0,6093.0,6967.0,4254.0,5204.0
2015-10-06,6684.0,,,,,,,,,,,,,12293.0,13133.0,5807.0,4363.0,10781.0,5075.0,8483.0,6093.0,6900.0,4250.0,5217.0
2015-10-07,6636.0,,,,,,,,,,,,,12193.0,12928.0,5796.0,4363.0,10594.0,5043.0,8425.0,6082.0,6800.0,4243.0,5225.0
2015-10-08,6620.0,,,,,,,,,,,,,12071.0,12783.0,5781.0,4365.0,10525.0,4999.0,8413.0,6138.0,6775.0,4275.0,5257.0
2015-10-09,6615.0,,,,,,,,,,,,,12014.0,12678.0,5781.0,4363.0,10469.0,4986.0,8392.0,6186.0,6763.0,4314.0,5271.0
2015-10-12,6611.0,,,,,,,,,,,,,11993.0,12581.0,5783.0,4375.0,10400.0,4977.0,8342.0,6214.0,6771.0,4350.0,5289.0
2015-10-13,6601.0,,,,,,,,,,,,,11875.0,12583.0,5793.0,4375.0,10388.0,4954.0,8333.0,6228.0,6692.0,4356.0,5310.0
2015-10-14,6604.0,,,,,,,,,,,,,11764.0,12667.0,5814.0,4375.0,10400.0,4943.0,8300.0,6253.0,6650.0,4369.0,5336.0
2015-10-15,6601.0,,,,,,,,,,,,,11679.0,12647.0,5836.0,4375.0,10375.0,4913.0,8254.0,6269.0,6671.0,4381.0,5358.0
2015-10-16,6571.0,,,,,,,,,,,,,11590.0,12667.0,5846.0,4263.0,10331.0,4886.0,8213.0,6275.0,6596.0,4394.0,5368.0
2015-10-19,6569.0,,,,,,,,,,,,,11514.0,12789.0,5857.0,4275.0,10319.0,4893.0,8183.0,6266.0,6542.0,4379.0,5375.0
2015-10-20,6566.0,,,,,,,,,,,,,11479.0,12825.0,5850.0,4283.0,10319.0,4911.0,8171.0,6256.0,6538.0,4363.0,5361.0
2015-10-21,6558.0,,,,,,,,,,,,,11411.0,12870.0,5836.0,4283.0,10306.0,4921.0,8163.0,6240.0,6533.0,4353.0,5345.0
2015-10-22,6561.0,,,,,,,,,,,,,11350.0,12904.0,5821.0,4308.0,10328.0,4936.0,8153.0,6237.0,6546.0,4356.0,5327.0
2015-10-23,6564.0,,,,,,,,,,,,,11264.0,12986.0,5807.0,4313.0,10397.0,4936.0,8150.0,6231.0,6571.0,4348.0,5303.0
2015-10-26,6575.0,,,,,,,,,,,,,11214.0,13122.0,5836.0,4300.0,10422.0,4936.0,8167.0,6228.0,6579.0,4344.0,5300.0
2015-10-27,6554.0,,,,,,,,,,,,,11207.0,13206.0,5796.0,4175.0,10441.0,4927.0,8188.0,6223.0,6604.0,4341.0,5296.0
2015-10-28,6542.0,,,,,,,,,,,,,11129.0,13350.0,5800.0,4125.0,10498.0,4879.0,8188.0,6178.0,6610.0,4323.0,5280.0
2015-10-29,6498.0,,,,,,,,,,,,,11029.0,13583.0,5800.0,4025.0,10631.0,4557.0,8143.0,6128.0,6598.0,4291.0,5233.0
2015-10-30,6464.0,,,,,,,,,,,,,10864.0,13679.0,5771.0,3963.0,10681.0,4457.0,8133.0,6100.0,6578.0,4261.0,5189.0
2015-11-02,6424.0,,,,,,,,,,,,,10700.0,13728.0,5750.0,3938.0,10681.0,4279.0,8104.0,6078.0,6553.0,4241.0,5159.0
2015-11-03,6360.0,,,,,,,,,,,,,10521.0,13631.0,5725.0,3875.0,10613.0,4086.0,7973.0,6079.0,6482.0,4246.0,5155.0
2015-11-04,6236.0,,,,,,,,,,,,,10300.0,13444.0,5661.0,3788.0,10481.0,3836.0,7742.0,6022.0,6257.0,4194.0,5114.0
2015-11-05,6114.0,,,,,,,,,,,,,10171.0,13217.0,5614.0,3725.0,10225.0,3621.0,7533.0,5953.0,6057.0,4106.0,5007.0
2015-11-06,6001.0,,,,,,,,,,,,,10000.0,12956.0,5571.0,3644.0,9819.0,3493.0,7367.0,5913.0,5933.0,4066.0,4971.0
2015-11-09,5923.0,,,,,,,,,,,,,9889.0,12772.0,5536.0,3600.0,9600.0,3346.0,7258.0,5869.0,5879.0,4038.0,4936.0
2015-11-10,5856.0,,,,,,,,,,,,,9743.0,12506.0,5525.0,3563.0,9413.0,3264.0,7212.0,5831.0,5788.0,4019.0,
2015-11-11,5762.0,,,,,,,,,,,,,9543.0,12289.0,5486.0,3513.0,9038.0,3132.0,7158.0,5782.0,5734.0,3995.0,4921.0
2015-11-12,5672.0,,,,,,,,,,,,,9321.0,12089.0,5443.0,3475.0,8750.0,2979.0,7072.0,5769.0,5605.0,3981.0,4917.0
2015-11-13,5564.0,,,,,,,,,,,,,9025.0,11783.0,5357.0,3388.0,8488.0,2836.0,6992.0,5750.0,5555.0,3953.0,4896.0
2015-11-16,5496.0,,,,,,,,,,,,,8871.0,11522.0,5314.0,3325.0,8331.0,2757.0,6957.0,5731.0,5530.0,3925.0,4868.0
2015-11-17,5412.0,,,,,,,,,,,,,8521.0,11322.0,5289.0,3300.0,8206.0,2582.0,6908.0,5669.0,5439.0,3897.0,4818.0
2015-11-18,5299.0,,,,,,,,,,,,,8214.0,10806.0,5257.0,3281.0,7963.0,2371.0,6755.0,5638.0,5327.0,3872.0,4793.0
2015-11-19,5160.0,,,,,,,,,,,,,8014.0,10122.0,5164.0,3225.0,7613.0,2164.0,6653.0,5604.0,5238.0,3834.0,4743.0
2015-11-20,5086.0,,,,,,,,,,,,,7864.0,9961.0,5132.0,3175.0,7425.0,2061.0,6553.0,5572.0,5148.0,3800.0,4682.0
2015-11-23,5053.0,,,,,,,,,,,,,7807.0,9888.0,5133.0,3138.0,7363.0,1975.0,6496.0,5564.0,5115.0,3786.0,4658.0
2015-11-24,5040.0,,,,,,,,,,,,,7757.0,9783.0,5129.0,3119.0,7350.0,1971.0,6501.0,5549.0,5123.0,3791.0,4629.0
2015-11-25,5042.0,,,,,,,,,,,,,7721.0,9767.0,5136.0,3115.0,7406.0,1971.0,6507.0,5544.0,5119.0,3794.0,4626.0
2015-11-26,5049.0,,,,,,,,,,,,,7743.0,9781.0,5157.0,3115.0,7463.0,1914.0,6523.0,5553.0,5126.0,3791.0,4661.0
2015-11-27,5060.0,,,,,,,,,,,,,7733.0,9816.0,5161.0,3129.0,7500.0,1879.0,6530.0,5586.0,5122.0,3823.0,4693.0
2015-11-30,5072.0,,,,,,,,,,,,,7739.0,9811.0,5193.0,3150.0,7500.0,1850.0,6508.0,5619.0,5114.0,3844.0,4721.0
2015-12-01,5103.0,,,,,,,,,,,,,7739.0,9811.0,5247.0,3193.0,7550.0,1821.0,6472.0,5694.0,5106.0,3878.0,4761.0
2015-12-02,5110.0,,,,,,,,,,,,,7686.0,9814.0,5291.0,3213.0,7594.0,1775.0,6387.0,5744.0,4979.0,3939.0,4806.0
2015-12-03,5110.0,,,,,,,,,,,,,7661.0,9669.0,5343.0,3231.0,7581.0,1743.0,6273.0,5788.0,4903.0,3981.0,4879.0
2015-12-04,5105.0,,,,,,,,,,,,,7614.0,9500.0,5350.0,3231.0,7538.0,1729.0,6215.0,5841.0,4869.0,4039.0,4903.0
2015-12-07,5071.0,,,,,,,,,,,,,7493.0,9286.0,5346.0,3219.0,7425.0,1679.0,6120.0,5881.0,4763.0,4100.0,4932.0
2015-12-08,5040.0,,,,,,,,,,,,,7282.0,9089.0,5357.0,3225.0,7325.0,1636.0,6060.0,5906.0,4698.0,4123.0,4950.0
2015-12-09,5023.0,,,,,,,,,,,,,7121.0,8944.0,5371.0,3244.0,7288.0,1682.0,5913.0,5932.0,4584.0,4148.0,4964.0
2015-12-10,4978.0,,,,,,,,,,,,,6971.0,8833.0,5351.0,3233.0,7194.0,1662.0,5783.0,5919.0,4475.0,4147.0,4954.0
2015-12-11,4940.0,,,,,,,,,,,,,6850.0,8719.0,5333.0,3215.0,7163.0,1666.0,5627.0,5919.0,4330.0,4147.0,4950.0
2015-12-14,4938.0,,,,,,,,,,,,,6764.0,8667.0,5339.0,3238.0,7172.0,1673.0,5585.0,5944.0,4297.0,4144.0,4961.0
2015-12-15,4942.0,,,,,,,,,,,,,6729.0,8642.0,5339.0,3275.0,7169.0,1772.0,5498.0,5953.0,4238.0,4141.0,4971.0
2015-12-16,4925.0,,,,,,,,,,,,,6739.0,8669.0,5333.0,3288.0,7172.0,1776.0,5390.0,5928.0,4097.0,4131.0,4950.0
2015-12-17,4923.0,,,,,,,,,,,,,6732.0,8700.0,5319.0,3269.0,7244.0,1822.0,5348.0,5919.0,4043.0,4134.0,4941.0
2015-12-18,4933.0,,,,,,,,,,,,,6729.0,8911.0,5307.0,3288.0,7319.0,1844.0,5336.0,5894.0,4005.0,4113.0,4920.0
2015-12-21,4936.0,,,,,,,,,,,,,6714.0,9094.0,5304.0,3288.0,7375.0,1879.0,5298.0,5863.0,3976.0,4081.0,4904.0
2015-12-22,4943.0,,,,,,,,,,,,,6700.0,9389.0,5282.0,3288.0,7472.0,1897.0,5262.0,5822.0,3963.0,4053.0,4881.0
2015-12-23,4942.0,,,,,,,,,,,,,6700.0,9488.0,5288.0,3288.0,7506.0,1933.0,5243.0,5768.0,3951.0,4014.0,4872.0
2015-12-24,4933.0,,,,,,,,,,,,,6729.0,9561.0,5264.0,3275.0,7515.0,1930.0,5258.0,5741.0,3950.0,3975.0,4843.0
2016-01-04,4856.0,,,,,,,,,,,,,6721.0,9872.0,5171.0,3238.0,7734.0,1948.0,5254.0,5322.0,3946.0,3750.0,4757.0
2016-01-05,4790.0,,,,,,,,,,,,,6757.0,9992.0,5007.0,3175.0,7828.0,1987.0,5213.0,5153.0,3908.0,3619.0,4607.0
2016-01-06,4715.0,,,,,,,,,,,,,6825.0,10083.0,4829.0,3150.0,7899.0,2016.0,5183.0,4934.0,3888.0,3466.0,4471.0
2016-01-07,4632.0,,,,,,,,,,,,,6850.0,10122.0,4657.0,3088.0,7965.0,2009.0,5158.0,4744.0,3863.0,3313.0,4307.0
2016-01-08,4534.0,,,,,,,,,,,,,6861.0,10133.0,4443.0,3013.0,7978.0,1964.0,5104.0,4603.0,3808.0,3181.0,4179.0
2016-01-11,4494.0,,,,,,,,,,,,,6886.0,10050.0,4392.0,2913.0,7997.0,1929.0,5033.0,4596.0,3779.0,3150.0,4133.0
2016-01-12,4389.0,,,,,,,,,,,,,6900.0,9889.0,4229.0,2813.0,8000.0,1921.0,4967.0,4409.0,3688.0,3031.0,4014.0
2016-01-13,4329.0,,,,,,,,,,,,,6893.0,9744.0,4136.0,2763.0,7981.0,1918.0,4901.0,4341.0,3633.0,2969.0,3929.0
2016-01-14,4213.0,,,,,,,,,,,,,6836.0,9461.0,4021.0,2675.0,7813.0,1836.0,4813.0,4203.0,3556.0,2850.0,3843.0
2016-01-15,4118.0,,,,,,,,,,,,,6793.0,9267.0,3921.0,2588.0,7738.0,1786.0,4746.0,4084.0,3467.0,2738.0,3757.0
2016-01-18,4026.0,,,,,,,,,,,,,6679.0,9156.0,3821.0,2463.0,7688.0,1718.0,4655.0,3991.0,3395.0,2663.0,3679.0
2016-01-19,3928.0,,,,,,,,,,,,,6593.0,8928.0,3686.0,2388.0,7544.0,1679.0,4588.0,3891.0,3355.0,2581.0,3600.0
2016-01-20,3797.0,,,,,,,,,,,,,6486.0,8664.0,3507.0,2288.0,7306.0,1621.0,4477.0,3778.0,3316.0,2456.0,3500.0
2016-01-21,3698.0,,,,,,,,,,,,,6421.0,8417.0,3400.0,2200.0,7200.0,1589.0,4400.0,3647.0,3246.0,2363.0,3407.0
2016-01-22,3605.0,,,,,,,,,,,,,6371.0,8228.0,3286.0,2125.0,7138.0,1536.0,4329.0,3503.0,3200.0,2281.0,3350.0
2016-01-25,3537.0,,,,,,,,,,,,,6339.0,8133.0,3200.0,2075.0,7000.0,1482.0,4287.0,3428.0,3153.0,2238.0,3300.0
