Date,C5TC,P4TC,S10TC,HS7TC
1998-05-06,,7170.0,,
1998-05-07,,7156.0,,
1998-05-08,,7129.0,,
1998-05-11,,7094.0,,
1998-05-12,,7017.0,,
1998-05-13,,6960.0,,
1998-05-14,,6961.0,,
1998-05-15,,6982.0,,
1998-05-18,,7015.0,,
1998-05-19,,7018.0,,
1998-05-20,,7016.0,,
1998-05-21,,7013.0,,
1998-05-22,,6954.0,,
1998-05-26,,6875.0,,
1998-05-27,,6835.0,,
1998-05-28,,6758.0,,
1998-05-29,,6736.0,,
1998-06-01,,6680.0,,
1998-06-02,,6542.0,,
1998-06-03,,6450.0,,
1998-06-04,,6371.0,,
1998-06-05,,6314.0,,
1998-06-08,,6236.0,,
1998-06-09,,6214.0,,
1998-06-10,,6157.0,,
1998-06-11,,6157.0,,
1998-06-12,,6276.0,,
1998-06-15,,6414.0,,
1998-06-16,,6486.0,,
1998-06-17,,6507.0,,
1998-06-18,,6481.0,,
1998-06-19,,6446.0,,
1998-06-22,,6441.0,,
1998-06-23,,6397.0,,
1998-06-24,,6350.0,,
1998-06-25,,6267.0,,
1998-06-26,,6207.0,,
1998-06-29,,6171.0,,
1998-06-30,,6100.0,,
1998-07-01,,6025.0,,
1998-07-02,,5995.0,,
1998-07-03,,5953.0,,
1998-07-06,,5970.0,,
1998-07-07,,5970.0,,
1998-07-08,,6018.0,,
1998-07-09,,6056.0,,
1998-07-10,,6079.0,,
1998-07-13,,6089.0,,
1998-07-14,,6110.0,,
1998-07-15,,6096.0,,
1998-07-16,,6093.0,,
1998-07-17,,6114.0,,
1998-07-20,,6153.0,,
1998-07-21,,6120.0,,
1998-07-22,,6093.0,,
1998-07-23,,6073.0,,
1998-07-24,,6043.0,,
1998-07-27,,6000.0,,
1998-07-28,,5978.0,,
1998-07-29,,5943.0,,
1998-07-30,,5935.0,,
1998-07-31,,5918.0,,
1998-08-03,,5871.0,,
1998-08-04,,5764.0,,
1998-08-05,,5680.0,,
1998-08-06,,5544.0,,
1998-08-07,,5484.0,,
1998-08-10,,5431.0,,
1998-08-11,,5367.0,,
1998-08-12,,5310.0,,
1998-08-13,,5291.0,,
1998-08-14,,5281.0,,
1998-08-17,,5277.0,,
1998-08-18,,5270.0,,
1998-08-19,,5257.0,,
1998-08-20,,5288.0,,
1998-08-21,,5300.0,,
1998-08-24,,5326.0,,
1998-08-25,,5348.0,,
1998-08-26,,5373.0,,
1998-08-27,,5361.0,,
1998-08-28,,5344.0,,
1998-09-01,,5327.0,,
1998-09-02,,5296.0,,
1998-09-03,,5293.0,,
1998-09-04,,5313.0,,
1998-09-07,,5333.0,,
1998-09-08,,5342.0,,
1998-09-09,,5388.0,,
1998-09-10,,5411.0,,
1998-09-11,,5520.0,,
1998-09-14,,5557.0,,
1998-09-15,,5623.0,,
1998-09-16,,5677.0,,
1998-09-17,,5732.0,,
1998-09-18,,5786.0,,
1998-09-21,,5872.0,,
1998-09-22,,5969.0,,
1998-09-23,,6023.0,,
1998-09-24,,6077.0,,
1998-09-25,,6144.0,,
1998-09-28,,6231.0,,
1998-09-29,,6357.0,,
1998-09-30,,6483.0,,
1998-10-01,,6600.0,,
1998-10-02,,6688.0,,
1998-10-05,,6751.0,,
1998-10-06,,6803.0,,
1998-10-07,,6869.0,,
1998-10-08,,6938.0,,
1998-10-09,,7053.0,,
1998-10-12,,7110.0,,
1998-10-13,,7143.0,,
1998-10-14,,7161.0,,
1998-10-15,,7168.0,,
1998-10-16,,7178.0,,
1998-10-19,,7143.0,,
1998-10-20,,7099.0,,
1998-10-21,,7047.0,,
1998-10-22,,7013.0,,
1998-10-23,,6909.0,,
1998-10-26,,6838.0,,
1998-10-27,,6802.0,,
1998-10-28,,6790.0,,
1998-10-29,,6788.0,,
1998-10-30,,6822.0,,
1998-11-02,,6864.0,,
1998-11-03,,6877.0,,
1998-11-04,,6892.0,,
1998-11-05,,6900.0,,
1998-11-06,,6938.0,,
1998-11-09,,6948.0,,
1998-11-10,,6986.0,,
1998-11-11,,7020.0,,
1998-11-12,,7070.0,,
1998-11-13,,7074.0,,
1998-11-16,,7078.0,,
1998-11-17,,7078.0,,
1998-11-18,,7065.0,,
1998-11-19,,7046.0,,
1998-11-20,,7022.0,,
1998-11-23,,7002.0,,
1998-11-24,,6971.0,,
1998-11-25,,6931.0,,
1998-11-26,,6839.0,,
1998-11-27,,6788.0,,
1998-11-30,,6746.0,,
1998-12-01,,6664.0,,
1998-12-02,,6531.0,,
1998-12-03,,6386.0,,
1998-12-04,,6200.0,,
1998-12-07,,6037.0,,
1998-12-08,,5866.0,,
1998-12-09,,5747.0,,
1998-12-10,,5606.0,,
1998-12-11,,5482.0,,
1998-12-14,,5425.0,,
1998-12-15,,5281.0,,
1998-12-16,,5203.0,,
1998-12-17,,5053.0,,
1998-12-18,,4972.0,,
1998-12-21,,4922.0,,
1998-12-22,,4847.0,,
1998-12-23,,4766.0,,
1998-12-24,,4730.0,,
1998-12-29,,4723.0,,
1998-12-30,,4692.0,,
1998-12-31,,4721.0,,
1999-01-04,,4606.0,,
1999-01-05,,4536.0,,
1999-01-06,,4698.0,,
1999-01-07,,4755.0,,
1999-01-08,,4750.0,,
1999-01-11,,4707.0,,
1999-01-12,,4716.0,,
1999-01-13,,4678.0,,
1999-01-14,,4727.0,,
1999-01-15,,4792.0,,
1999-01-18,,4816.0,,
1999-01-19,,4864.0,,
1999-01-20,,5020.0,,
1999-01-21,,5455.0,,
1999-01-22,,5620.0,,
1999-01-25,,5681.0,,
1999-01-26,,5651.0,,
1999-01-27,,5583.0,,
1999-01-28,,5481.0,,
1999-01-29,,5413.0,,
1999-02-01,,5276.0,,
1999-02-02,,5121.0,,
1999-02-03,,5042.0,,
1999-02-04,,5047.0,,
1999-02-05,,5128.0,,
1999-02-08,,5127.0,,
1999-02-09,,5200.0,,
1999-02-10,,5213.0,,
